(0.1996,-1.0376,-1.9496,1.4071,0.1185,3.7492)
(-0.1588,-0.9261,2.0666,0.4515,1.4158,-11.4137)
(-2.7526,-0.8208,2.6975,1.6494,-0.5299,-6.7064)
(-0.7710,-0.1555,-1.4890,-2.1809,-0.2759,9.4949)
(-2.9341,1.6000,0.7076,-0.7276,1.1842,13.1887)
(-1.9719,2.0605,0.5731,-0.8401,1.9965,-9.9370)
(1.7797,-0.2367,2.7406,-2.8729,-0.6539,-8.2527)
(-0.2324,2.1680,-2.9103,0.8870,0.2452,-4.0905)
(1.3079,-1.7214,1.6651,-2.5417,1.4587,-11.4215)
(0.1355,2.4547,0.4254,-0.3411,2.6689,5.6984)
(1.8993,1.6584,-0.5298,-2.9920,-1.8857,0.1537)
(-0.1292,2.8410,-0.7660,2.5161,0.6796,9.5017)
(-1.0929,0.4876,2.5578,1.1008,-1.6457,-11.1110)
(2.8702,2.6866,-0.6453,-0.8838,0.5250,10.4265)
(-1.0298,-1.0239,1.5556,-1.1431,-1.6123,-8.6225)
(0.1686,0.5414,-1.9709,1.0668,-2.1490,7.2726)
(-0.4620,0.8635,1.0933,-0.1292,0.3109,-13.9091)
(-2.0832,2.6515,-0.5705,2.3025,-0.9566,-0.7270)
(-2.9843,0.3924,0.6339,0.0746,1.7534,14.9627)
(2.8502,-2.4782,0.4009,-2.9012,-0.6621,-23.3258)
(-0.8653,-0.2627,2.6192,1.3676,-1.5325,-0.1695)
(-2.4895,-1.2364,0.0517,0.8850,2.7131,21.4150)
(-2.0366,2.8683,0.7878,0.0918,-0.2169,10.5475)
(-0.0666,-1.8931,1.9240,-0.0701,-0.5706,-6.6106)
(-0.2105,-2.1094,0.8789,2.9571,2.8954,18.3680)
(-0.4784,-0.7078,-1.8547,-2.0412,1.2093,-1.8726)
(-2.5353,0.1317,-1.5312,1.7151,-1.4426,-0.4184)
(-2.5958,-0.6258,2.8478,2.7238,-2.3049,-5.9197)
(0.8604,2.3887,1.8610,1.9171,-0.9324,-6.1507)
(1.8175,-2.9979,-1.7428,1.0042,0.9593,9.0299)
(-2.7685,-1.7518,-2.7781,-2.1780,0.2287,5.2819)
(-0.3022,0.3321,-0.0243,-0.9383,0.5192,-17.0681)
(-1.9842,1.1539,1.8226,-1.5571,2.7351,7.4174)
(1.5748,-2.7878,0.0904,2.1879,2.8078,-18.6025)
(-1.5486,0.8150,0.6315,0.5525,0.0619,11.3553)
(1.2716,2.4814,-2.6847,0.4007,-1.5925,0.9015)
(-2.6355,-1.9622,0.0201,2.9130,0.1279,-1.0565)
(-2.6707,2.3621,2.5264,1.8634,0.1675,-6.2143)
(-1.4435,-0.8599,-2.8681,-0.9185,-1.0069,-3.8962)
(-1.4746,1.0272,-2.8420,1.9198,2.7046,11.5792)
(2.5182,0.8128,0.7202,-1.3050,-1.3028,-1.6267)
(0.6248,-0.1056,0.4572,-1.1637,0.5210,-1.5040)
(2.2296,1.2113,0.2250,0.0846,1.8361,16.9327)
(0.6237,-1.6361,0.3278,0.6045,-1.1615,4.1551)
(-2.6011,0.4362,-1.6745,1.3642,1.8526,12.3187)
(-2.2969,-2.8617,1.8790,-2.7704,0.7370,2.1572)
(2.0468,-0.3741,-1.1831,2.3362,-0.3859,6.1586)
(-0.9162,2.9399,1.2845,-1.7462,1.1653,25.4277)
(-1.8594,-2.0111,-0.4510,1.4136,0.3598,6.0039)
(-2.3981,2.6583,0.2868,-0.4259,2.1624,1.9121)
(0.2650,-0.6242,-2.9801,1.6656,-0.1393,-11.0003)
(-0.4822,-0.6849,1.2147,0.1854,1.8606,8.0276)
(-1.3023,1.8748,-1.7743,-0.5233,2.6013,3.0504)
(1.1143,-0.7539,-2.1971,-2.4573,0.8735,6.9305)
(-1.6816,1.6584,-0.7303,-2.1164,-0.6793,-7.7803)
(2.5088,1.3395,-0.6785,-1.6161,2.8720,-3.8515)
(2.6888,-0.9411,-1.0538,-2.8102,-1.7197,-4.3371)
(0.1519,0.2545,2.4040,-1.6910,-0.8339,16.0967)
(-2.3701,0.0355,-2.1966,0.0724,1.0546,14.9081)
(-0.4011,1.4649,-0.3109,1.1236,-0.4557,10.6232)
