(-2.7663,0)
(-2.2474,0)
(-4.1330,0)
(-4.0845,0)
(-1.9579,0)
(-3.7216,0)
(-1.2724,0)
(-3.9472,0)
(-3.4025,0)
(-4.7415,0)
(-3.0550,0)
(-3.6270,0)
(-2.8003,0)
(-3.3878,0)
(-2.5859,0)
(-3.7834,0)
(-4.2902,0)
(-3.8458,0)
(-3.7012,0)
(-3.3056,0)
(-3.0284,0)
(-2.9699,0)
(-2.2439,0)
(-1.8119,0)
(-2.3520,0)
(-3.2496,0)
(-2.0347,0)
(-3.3467,0)
(-1.6683,0)
(-1.6056,0)
(-4.0172,0)
(-2.3187,0)
(-2.4085,0)
(-3.0604,0)
(-1.8131,0)
(-3.6119,0)
(-2.4584,0)
(-4.1428,0)
(-2.1962,0)
(-4.7289,0)
(-3.3362,0)
(-2.2964,0)
(-3.2839,0)
(-1.1311,0)
(-2.1822,0)
(-1.4033,0)
(-2.0426,0)
(-3.3270,0)
(-3.3733,0)
(-3.6151,0)
(-2.9705,0)
(-2.6993,0)
(-2.8182,0)
(-2.4810,0)
(-3.5985,0)
(-3.1028,0)
(-2.2948,0)
(-2.3522,0)
(-2.9416,0)
(-3.4475,0)
(-2.8179,0)
(-2.9356,0)
(-2.4534,0)
(-4.2027,0)
(-1.7446,0)
(-2.2573,0)
(-2.2793,0)
(-3.5404,0)
(-3.5617,0)
(-4.1163,0)
(-2.1061,0)
(-5.0518,0)
(-1.2351,0)
(-3.3665,0)
(-3.9538,0)
(-5.1896,0)
(-1.8222,0)
(-4.5063,0)
(-4.4715,0)
(-4.4414,0)
(-2.9621,0)
(-4.7775,0)
(-3.7412,0)
(-2.4495,0)
(-2.4124,0)
(-3.9267,0)
(-5.1466,0)
(-3.5652,0)
(-2.6459,0)
(-4.2230,0)
(-3.5666,0)
(-5.0908,0)
(-2.3461,0)
(-2.1245,0)
(-1.4318,0)
(-2.2858,0)
(-3.8697,0)
(-1.9203,0)
(-3.3906,0)
(-3.0746,0)
(0.4443,1)
(0.4724,1)
(1.5204,1)
(-0.9737,1)
(-0.0376,1)
(-1.2254,1)
(2.0785,1)
(-0.4261,1)
(0.1651,1)
(-1.0710,1)
(0.7685,1)
(0.3895,1)
(0.9465,1)
(-1.8442,1)
(1.5485,1)
(-0.2697,1)
(0.7323,1)
(0.8702,1)
(-1.5881,1)
(0.5053,1)
(-0.4457,1)
(1.3541,1)
(-1.1003,1)
(0.6870,1)
(-0.4149,1)
(-0.5787,1)
(-0.0212,1)
(1.6567,1)
(-1.0805,1)
(-0.0549,1)
(-1.3000,1)
(-1.0098,1)
(-1.7950,1)
(1.6260,1)
(-0.7340,1)
(0.1043,1)
(0.9436,1)
(-0.7890,1)
(0.4509,1)
(-1.7396,1)
(-0.0757,1)
(0.5334,1)
(0.5271,1)
(-0.4848,1)
(0.8753,1)
(0.7221,1)
(-0.7144,1)
(-0.0071,1)
(1.4713,1)
(-0.1061,1)
(-0.6001,1)
(-0.9961,1)
(-1.6860,1)
(0.3909,1)
(1.4022,1)
(-0.7815,1)
(1.0360,1)
(-0.3531,1)
(-0.0429,1)
(1.1719,1)
(1.3742,1)
(1.4683,1)
(0.1895,1)
(0.2512,1)
(-0.3947,1)
(0.4952,1)
(0.7291,1)
(0.6470,1)
(-2.0337,1)
(2.2163,1)
(-1.3232,1)
(0.3901,1)
(0.7003,1)
(-0.4662,1)
(1.4702,1)
(-1.2746,1)
(-0.3481,1)
(-0.0449,1)
(1.8360,1)
(-0.5431,1)
(0.2806,1)
(-0.5175,1)
(1.3568,1)
(0.8596,1)
(-0.5772,1)
(-0.7694,1)
(-0.4757,1)
(-0.7352,1)
(-1.3180,1)
(-1.1955,1)
(-0.7911,1)
(-0.0757,1)
(-1.5019,1)
(-0.2544,1)
(0.9808,1)
(-0.9718,1)
(-1.0484,1)
(0.4752,1)
(0.1663,1)
(-0.7967,1)
(3.9027,2)
(2.6896,2)
(2.6928,2)
(2.2800,2)
(3.0001,2)
(5.0436,2)
(3.6677,2)
(2.0023,2)
(2.7800,2)
(3.9095,2)
(2.4014,2)
(3.9591,2)
(3.8054,2)
(4.2361,2)
(3.8619,2)
(3.8764,2)
(3.8499,2)
(-0.2538,2)
(3.1801,2)
(3.7207,2)
(3.9514,2)
(2.8378,2)
(3.6424,2)
(3.1326,2)
(1.9554,2)
(3.6103,2)
(4.6458,2)
(3.0833,2)
(3.8177,2)
(2.5730,2)
(3.0758,2)
(3.9991,2)
(4.1913,2)
(2.0972,2)
(4.3251,2)
(3.3704,2)
(2.0817,2)
(3.5831,2)
(4.5796,2)
(3.5864,2)
(3.0446,2)
(2.4760,2)
(3.1088,2)
(2.7100,2)
(3.6912,2)
(3.0898,2)
(3.7165,2)
(3.3522,2)
(4.1752,2)
(4.4347,2)
(3.1909,2)
(4.4316,2)
(3.0805,2)
(2.0728,2)
(3.9490,2)
(3.3544,2)
(3.1096,2)
(2.1828,2)
(1.4870,2)
(2.6835,2)
(3.6761,2)
(2.0246,2)
(1.8553,2)
(2.2949,2)
(3.8224,2)
(1.8393,2)
(1.8954,2)
(3.7313,2)
(3.3372,2)
(2.8288,2)
(2.5531,2)
(3.9107,2)
(3.1028,2)
(2.6444,2)
(2.1378,2)
(4.1978,2)
(2.9750,2)
(2.8668,2)
(2.8778,2)
(3.4884,2)
(4.5455,2)
(1.7004,2)
(3.3374,2)
(2.4132,2)
(1.3350,2)
(3.7111,2)
(2.9306,2)
(3.2927,2)
(2.4531,2)
(3.7175,2)
(3.1325,2)
(2.9309,2)
(6.2195,2)
(3.5867,2)
(1.0447,2)
(4.1734,2)
(4.0365,2)
(4.4835,2)
(2.5454,2)
(1.7194,2)
