(-2.2513,-2.9375,-5.3657,0)
(-4.1022,-3.0632,-4.7558,0)
(-3.6577,-2.5935,-3.5282,0)
(-2.4934,-4.4803,-3.0284,0)
(-3.9253,-3.4559,-3.1747,0)
(-5.5941,-2.4716,-4.9750,0)
(-3.5403,-2.9434,-2.5065,0)
(-4.1213,-5.3092,-3.9218,0)
(-1.8567,-2.8400,-3.1201,0)
(-3.3608,-2.2347,-3.2144,0)
(-2.3088,-1.6247,-3.2322,0)
(-1.5550,-5.4032,-2.9357,0)
(-2.1021,-1.7755,-2.5534,0)
(-4.8480,-2.8836,-3.4468,0)
(-2.4375,-3.2413,-2.1715,0)
(-2.1209,-2.7715,-4.5577,0)
(-1.4260,-3.5482,-0.8527,0)
(-1.9177,-2.8104,-4.7465,0)
(-2.0319,-3.8226,-4.2772,0)
(-3.7830,-3.3966,-2.7819,0)
(-2.7977,-3.1615,-4.3832,0)
(-2.1059,-2.9244,-4.6830,0)
(-1.2096,-1.2113,-0.4569,0)
(-2.6158,-2.4618,-2.2549,0)
(-4.0537,-2.7516,-2.9082,0)
(-1.5591,-3.6107,-3.1292,0)
(-2.0774,-1.3948,-3.7282,0)
(-3.7927,-2.6784,-2.3652,0)
(-5.1675,-2.9844,-4.1073,0)
(-1.5036,-2.8500,-4.4558,0)
(-1.7686,-3.6160,-2.7670,0)
(-4.7904,-3.1248,-3.4937,0)
(-3.6476,-3.5130,-4.4211,0)
(-2.7223,-3.5758,-4.7575,0)
(-3.8823,-2.6630,-3.6697,0)
(-1.8357,-3.1515,-1.2388,0)
(-4.3166,-3.0683,-2.3522,0)
(-2.8973,-2.7450,-2.6966,0)
(-3.2666,-4.9343,-3.3217,0)
(-2.9022,-2.1792,-2.1468,0)
(-3.4501,-4.5427,-3.4038,0)
(-2.6389,-2.0617,-2.8220,0)
(-2.6677,-2.9301,-1.8692,0)
(-4.6033,-2.9093,-3.3923,0)
(-2.4278,-3.9018,-4.6649,0)
(-3.2045,-0.9103,-3.8817,0)
(-2.4091,-1.9029,-3.4166,0)
(-4.0882,-5.1902,-5.6488,0)
(-4.0563,-2.3231,-2.7801,0)
(-3.6366,-2.0697,-3.7457,0)
(-3.3357,-4.2796,-3.8656,0)
(-4.5181,-2.0904,-0.1193,0)
(-3.9526,-3.5303,-0.7612,0)
(-3.2637,-2.9778,-3.6708,0)
(-1.3159,-4.1542,-2.0607,0)
(-4.2030,-4.4578,-2.4877,0)
