(5.9934,4.7235,0)
(6.2954,8.0461,0)
(4.5317,4.5317,0)
(8.1584,6.5349,0)
(4.0611,6.0851,0)
(4.0732,4.0685,0)
(5.4839,1.1734,0)
(1.5502,3.8754,0)
(2.9743,5.6285,0)
(3.1840,2.1754,0)
(7.9313,4.5484,0)
(5.1351,2.1505,0)
(3.9112,5.2218,0)
(2.6980,5.7514,0)
(3.7987,4.4166,0)
(3.7966,8.7046,0)
(4.9730,2.8846,0)
(6.6451,2.5583,0)
(5.4177,1.0807,0)
(2.3436,5.3937,0)
(6.4769,5.3427,0)
(4.7687,4.3978,0)
(2.0430,3.5603,0)
(4.0787,7.1142,0)
(5.6872,1.4739,0)
(5.6482,4.2298,0)
(3.6462,6.2234,0)
(7.0620,6.8626,0)
(3.3216,4.3816,0)
(5.6625,6.9511,0)
(4.0417,4.6287,0)
(2.7873,2.6076,0)
(6.6251,7.7125,0)
(4.8560,7.0071,0)
(5.7233,3.7098,0)
(5.7228,8.0761,0)
(4.9283,8.1293,0)
(0.0000,6.6438,0)
(5.1741,4.4020,0)
(5.1835,1.0249,0)
(4.5607,5.7142,0)
(7.9558,3.9635,0)
(3.3830,3.9965,0)
(6.8308,5.6575,0)
(3.9405,6.0265,0)
(5.1942,6.9373,0)
(3.5959,4.3447,0)
(4.2158,2.0730,0)
(5.5922,5.5221,0)
(5.0102,4.5308,0)
(2.6693,3.6587,1)
(4.8146,2.8954,1)
(5.1774,5.3081,1)
(9.2724,4.8492,1)
(6.0151,4.3511,1)
(1.6625,4.4470,1)
(5.6205,9.4265,1)
(5.1153,5.1031,1)
(5.4306,2.1626,1)
(7.7856,6.0039,1)
(7.0821,2.6812,1)
(8.3056,1.6963,1)
(6.6737,8.8809,1)
(3.5189,3.3674,1)
(5.6993,3.4930,1)
(2.3987,4.6371,1)
(3.3754,5.4472,1)
(3.6612,7.5999,1)
(3.9335,3.8559,1)
(7.1270,2.0383,1)
(5.9549,7.1143,1)
(2.2850,4.8693,1)
(6.0198,6.0636,1)
(3.0261,1.8591,1)
(6.5439,5.0940,1)
(6.0010,5.1929,1)
(4.1400,4.9645,1)
(6.0861,3.0713,1)
(9.2315,5.4477,1)
(3.1174,5.8131,1)
(3.5506,6.0742,1)
(7.8172,2.8586,1)
(7.4268,5.3256,1)
(7.1441,8.2936,1)
(5.0092,2.9925,1)
(3.7210,2.8684,1)
(5.3458,5.1823,1)
(6.0534,6.1544,1)
(5.5260,7.4071,1)
(4.9707,9.9403,1)
(6.7513,2.7857,1)
(3.3582,5.4649,1)
(5.0531,5.9280,1)
(6.4465,4.3543,1)
(3.8064,1.4703,1)
(4.6070,6.2128,1)
(5.9282,2.0085,1)
(5.8464,5.2706,1)
(3.7323,4.8075,1)
(5.6164,2.2141,1)
